Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
fleA`@@HddrsLk}NgV|uATEETRBJr@@	O([C@H]1C[C@@H](C)CC(C1)(C)C)C(=O)c1ccccc1O	Resultados/ZINC000000000370_rank1.pdb	262.348	3.6527	-3.532	3	1	207.33	0.17431	46.53	-2.7361	0.52632	0.29231	0.66755	3	
fj}`BDD`BDreLlln{{\dKS`tDPAAEUACd@@	[C@H]1(c2ccccc2CSc2ccccc12)CCC[NH+](C)C	Resultados/ZINC000000000372_rank1.pdb	298.473	2.0517	-4.274	1	1	253.41	0.13843	29.74	-2.0053	0.47619	0.28754	0.82449	4	
do~L@LAFRYvnU{]jj``BJP@	[C@](CC)(O)(COC(=O)N)c1ccccc1	Resultados/ZINC000000000375_rank1.pdb	209.244	1.3253	-2.421	4	2	166.07	0.30957	72.55	1.8032	0.6	0.59616	0.60693	5	
defH`FhLQIifZijhb@@	[C@@](Br)(CC)(C(=O)N)C(C)C	Resultados/ZINC000000000378_rank1.pdb	208.098	1.5826	-2.156	2	1	131.85	0.21471	43.09	-5.1035	0.5	0.74609	0.77276	3	
f`a``@D@HdrwZzrmMU@AUDLH@	c1(ccc(cc1)[C@H](C)C(=O)NO)CC(C)C	Resultados/ZINC000000000381_rank1.pdb	221.299	2.4881	-3.17	3	2	184.36	0.20395	49.33	1.4185	0.6875	0.56901	0.58251	4	
ff}`pDO@QRRR~gHheHmEEGDhizNZmUUUUUUTsBYARt}@p@	O(C(=O)[C@](C(C)C)(O)[C@H](C)O)C[C@@H]1CC[N@+]2(O)CC[C@@H]([C@@H]12)O	Resultados/ZINC000000000390_rank1.pdb	318.388	-0.5667	0.967	7	4	224.02	0.30274	107.22	-0.42099	0.45455	0.52361	0.83102	6	
fdiHPBDTtxDeViNirJIQQQSsJRtuSUTuUBe@G|Hhfd@	C1(=C([N+](O[NH+]1)O)C(=O)NC(C)C)C(=O)NC(C)C	Resultados/ZINC000000000394_rank1.pdb	258.277	-0.7565	-1.275	8	4	188.45	0.4355	92.1	2.3565	0.55556	0.55121	0.73783	4	
fhqa`DM@IKTiLso\kLyA@UUUBAIT@@	[C@H]([C@H](CC)[NH2+]C(C)C)(O)c1ccc(c(c1)O)O	Resultados/ZINC000000000401_rank1.pdb	240.322	0.0392	-1.79	4	4	188.09	0.25009	77.3	-0.040925	0.58824	0.49404	0.70798	5	
dedB@@JfrJJJGMUUQd@	C(=O)([C@H](C)OCC)C(O)O	Resultados/ZINC000000000411_rank1.pdb	148.157	-0.989	-0.512	4	2	117.23	0.42003	66.76	-4.7034	0.7	0.66597	0.64124	4	
do~L@DBcrJIQPiYI]Zj@BhcD@	c1(ccc(cc1)NC(=O)[C@@H](C)O)OCC	Resultados/ZINC000000000417_rank1.pdb	209.244	1.1322	-2.147	4	2	169.6	0.28066	58.56	-0.91972	0.73333	0.50539	0.53731	4	
